played_at,track_name,duration_ms,track_id,artist_name,artist_id,artist_genres,artist_img,album_name,album_id,album_release_year,album_label,album_img
2025-12-15T10:40:56.379Z,Me estoy quitando,132666,3EJid44JIEbOknxjZPp42x,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Agila,3msSCqpQLoY0nl4RTSf1Is,1996,WM Spain,https://i.scdn.co/image/ab67616d00001e02489635998e8b3a9dec1ae455
2025-12-15T10:44:56.527Z,"Adiós abanico, que llegó el aire",217826,5XzSHaKNuyP5vKnIJ4x6E7,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
2025-12-15T10:47:57.390Z,Arrebato,203573,4Y4KugEpdzwsZ2EXvTkJAN,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
2025-12-15T11:35:32.288Z,Jesucristo García,290448,6SCGDAO9pBX6dmyeFEe0cm,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
2025-12-15T12:12:53.668Z,Crucifixion,182200,4rvk17vpsiyVbLOr9Y56XB,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Agradecidos... Rosendo,6mA0nUCRDtuA1tTUfbiJjZ,2017,RCA Records Label,https://i.scdn.co/image/ab67616d00001e0267cd3d0f7b15112e1582a073
2025-12-15T12:15:34.085Z,Enemigo,158920,1wLl4C056T6oM8Rt8h8mFg,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Canciones Prohibidas,5QHJB2blBbAL8BjrD9hrhG,1998,WM Spain,https://i.scdn.co/image/ab67616d00001e020ebf207d528429be0eea1a6e
2025-12-15T12:23:35.926Z,"Villancico del rey de Extremadura - Vaya puta mierda de villancico, colega",183893,5UTsvIUx4iQ8zEtq0bxQdt,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Canciones Prohibidas,5QHJB2blBbAL8BjrD9hrhG,1998,WM Spain,https://i.scdn.co/image/ab67616d00001e020ebf207d528429be0eea1a6e
2025-12-15T12:28:53.071Z,Desidia,270893,4oiEOwH9Sxjpym4uFDRwDk,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Canciones 1989-2013,33kfD97XqCE416YXIUMdKa,2021,WM Spain,https://i.scdn.co/image/ab67616d00001e020c181ad7973614d699da8d5c
2025-12-15T12:30:16.076Z,J.D. la central nuclear,89515,5rZE6DL4qV71EqoBl9W4dT,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
2025-12-15T12:33:44.225Z,V centenario,203837,5Z44SX6QP0r9jeyqRlv5Ep,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Somos Unos Animales,7cMPHSCmlJVpO9EH0a6bSp,1991,WM Spain,https://i.scdn.co/image/ab67616d00001e02a7f10e2723b166e38f98eeaa
